cidade,pagina,qtd_empresas,empresas,cep,setor
itapeva,3,,"QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,60 filtros","18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380,18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380","Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista"
aracatuba,2,,"SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,60 filtros","16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703,16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703","Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação"
itapeva,1,,"QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,60 filtros","18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380,18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380","Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista"
itapeva,2,,"QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,60 filtros","18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380,18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380","Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista"
aracatuba,3,,"SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,60 filtros","16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703,16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703","Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação"
itapeva,4,,"QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,60 filtros","18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380,18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380","Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista"
itapeva,5,,"QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,QUATRELATI,SUPERMERCADO LOUREIRO,SUPERMERCADO POLACO,NERILDO APARECIDO NUNES,MINO S SUPERMERCADO,MUNDO ANIMAL ITAPEVA,MNA DE OLIVEIRA DA SILVA EMBALAGENS LTDA,ESFIHA SHOW,SUPER REY SUPERMERCADO,VICI SUPERMERCADOS LTDA,CANTO DA CASA,ARMAZEM LOUREIRO,NANINI EMBALAGENS,CACAU SHOW,IVO LANCHES,CONTAINER PIZZARIA,MARXGREG 3D,OLIMEL ALIMENTOS LTDA,PANIFICADORA SOUZA  RESENDE LTDA,MERCADO PAKITO LTDA,60 filtros","18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380,18.410-630,18.400-690,18.407-130,18.405-205,18.410-070,18.400-170,18.400-480,18.400-340,18.404-537,18.400-060,18.400-100,18.406-260,18.400-500,18.400-400,18.409-270,18.400-170,18.403-010,18.407-120,18.400-450,18.409-380","Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Restaurantes,Comércio Varejista,Restaurantes,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Restaurantes,Restaurantes,Comércio Varejista,Comércio Varejista,Restaurantes,Comércio Varejista"
itapetininga,2,,"USINA VISTA ALEGRE,M  S SUPERMERCADO,PAULISPAN,EMPORIO SAO JOSE 1,SUPERMERCADO LOBAO,SUPERMERCADO POLITEL,SUPERMERCADO ROBERTO,F F SUPERMERCADO LTDA,SUPERMERCADO DIA,AGROPECUARIA SANTA RITA DE ITAPETININGA LTDA,SUPERMERCADO ROMA,EMPORIO ALBERTO,MMFIT SUPLEMENTOS LTDA,CASA  CIA,SUPERMERCADO FELICIANO ITAPETININGA LTDA,PADARIA SAO JOAO I,FARINILLA,SUPERMERCADO LM,CERVEJARIA PINELLI,MEGA CHOCOLATES ITAPETININGA LTDA,USINA VISTA ALEGRE,M  S SUPERMERCADO,PAULISPAN,EMPORIO SAO JOSE 1,SUPERMERCADO LOBAO,SUPERMERCADO POLITEL,SUPERMERCADO ROBERTO,F F SUPERMERCADO LTDA,SUPERMERCADO DIA,AGROPECUARIA SANTA RITA DE ITAPETININGA LTDA,SUPERMERCADO ROMA,EMPORIO ALBERTO,MMFIT SUPLEMENTOS LTDA,CASA  CIA,SUPERMERCADO FELICIANO ITAPETININGA LTDA,PADARIA SAO JOAO I,FARINILLA,SUPERMERCADO LM,CERVEJARIA PINELLI,MEGA CHOCOLATES ITAPETININGA LTDA,60 filtros","18.209-600,18.200-320,18.214-450,18.205-734,18.203-240,18.200-354,18.213-170,18.200-350,18.208-080,18.208-672,18.200-035,18.200-160,18.200-354,18.211-130,18.200-185,18.209-205,18.209-110,18.207-330,18.200-358,18.209-600,18.200-320,18.214-450,18.205-734,18.203-240,18.200-354,18.213-170,18.200-350,18.208-080,18.208-672,18.200-035,18.200-160,18.200-354,18.211-130,18.200-185,18.209-205,18.209-110,18.207-330,18.200-358","Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista"
aracatuba,1,,"SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,60 filtros","16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703,16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703","Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação"
aracatuba,5,,"SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,SUPERMERCADOS RONDON,CATUAY DO BRASIL,COOPERATIVA DOS BANCARIOS,SUPERMERCADO CASA DINIZ,COMERCIAL DE PRODUTOS ALIMENTICIOS ROSAFELIPE,ENGARRAFADORA E DISTRIBUIDORA DE BEBIDAS PALO VERDE LTDA,MILLENAR,MARIA APARECIDA DA SILVA  CIA LTDA,PADARIA CONF E LANCHONETE BANDEIRANTE ARACATUBA LTDA,ARACATUBA POINT COMESTIVEIS LTDA,SUPLESAL,CONFRARIA DO CHOPP ARACATUBA LIMITADA,SAFRA DISTRIBUIDORA DE DOCES LTDA,DELLY PADARIA E CONFEITARIA LTDA,CENTRO DE EVENTOS AVENIDA,CHICAZES SANTANA LTDA,HIDRAJA,JOSEMAR  RODRIGUES ALIMENTOS E DERIVADOS LTDA,MIO BEBIDAS,MUNDIAL FISH INDUSTRIA COMERCIO E IMPORTACAO LTDA,60 filtros","16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703,16.021-345,16.058-703,16.015-090,16.015-085,16.072-125,16.026-005,16.018-410,16.018-305,16.010-090,16.020-050,16.129-899,16.018-000,16.025-285,16.020-265,16.015-460,16.050-480,16.013-040,16.013-312,16.058-703","Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Restaurantes,Restaurantes,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação,Restaurantes,Indústrias da transformação,Indústrias da transformação,Comércio Varejista,Comércio Varejista,Indústrias da transformação"
